学習回数,I0,I1,I2,W0,W1,W2,Out,T,備考
1,1,0,0,-0.1,0.2,0.3,0,0,
2,1,0,1,-0.1,0.2,0.3,1,1,
3,1,1,0,-0.1,0.2,0.3,1,1,
4,1,1,1,-0.1,0.2,0.3,1,0,
5,1,0,0,-1.1,-0.8,-0.7,0,0,
6,1,0,1,-1.1,-0.8,-0.7,0,1,
7,1,1,0,-0.1,-0.8,0.3,0,1,
8,1,1,1,0.9,0.2,0.3,1,0,
9,1,0,0,-0.1,-0.8,-0.7,0,0,
10,1,0,1,-0.1,-0.8,-0.7,0,1,
11,1,1,0,0.9,-0.8,0.3,1,1,
12,1,1,1,0.9,-0.8,0.3,1,0,
13,1,0,0,-0.1,-1.8,-0.7,0,0,
14,1,0,1,-0.1,-1.8,-0.7,0,1,
15,1,1,0,0.9,-1.8,0.3,0,1,
16,1,1,1,1.9,-0.8,0.3,1,0,
17,1,0,0,0.9,-1.8,-0.7,1,0,
18,1,0,1,-0.1,-1.8,-0.7,0,1,
19,1,1,0,0.9,-1.8,0.3,0,1,
20,1,1,1,1.9,-0.8,0.3,1,0,
21,1,0,0,0.9,-1.8,-0.7,1,0,
22,1,0,1,-0.1,-1.8,-0.7,0,1,
23,1,1,0,0.9,-1.8,0.3,0,1,
24,1,1,1,1.9,-0.8,0.3,1,0,
25,1,0,0,0.9,-1.8,-0.7,1,0,
26,1,0,1,-0.1,-1.8,-0.7,0,1,
27,1,1,0,0.9,-1.8,0.3,0,1,
28,1,1,1,1.9,-0.8,0.3,1,0,線形分離不可能、収束できない
